id,treatment,sample_size,median,test,type1_error_rate,type2_error_rate
130,bimodal,100,4,wilcoxon,0.0000,0.0000
131,bimodal,100,4,student,0.0000,0.0000
132,dependent,100,4,sign,0.0000,0.0000
133,dependent,100,4,wilcoxon,0.0000,0.0000
134,dependent,100,4,student,0.0000,0.0000
135,control,10,4,sign,0.0000,0.0000
136,control,10,4,wilcoxon,0.0000,0.0000
137,control,10,4,student,0.0000,0.0000
138,uniform,10,4,sign,0.0000,0.0000
139,uniform,10,4,wilcoxon,0.0000,0.0000
140,uniform,10,4,student,0.0000,0.0000
141,asymmetric,10,4,sign,0.0000,0.0000
142,asymmetric,10,4,wilcoxon,0.0000,0.0000
143,asymmetric,10,4,student,0.0000,0.0000
144,bimodal,10,4,sign,0.0000,0.0000
145,bimodal,10,4,wilcoxon,0.0000,0.0000
146,bimodal,10,4,student,0.0000,0.0000
147,dependent,10,4,sign,0.0000,0.0000
148,dependent,10,4,wilcoxon,0.0000,0.0000
149,dependent,10,4,student,0.0000,0.0000
150,control,30,4,sign,0.0000,0.0000
151,control,30,4,wilcoxon,0.0000,0.0000
152,control,30,4,student,0.0000,0.0000
153,uniform,30,4,sign,0.0000,0.0000
154,uniform,30,4,wilcoxon,0.0000,0.0000
155,uniform,30,4,student,0.0000,0.0000
156,asymmetric,30,4,sign,0.0000,0.0000
157,asymmetric,30,4,wilcoxon,0.0000,0.0000
158,asymmetric,30,4,student,0.0000,0.0000
159,bimodal,30,4,sign,0.0000,0.0000
160,bimodal,30,4,wilcoxon,0.0000,0.0000
161,bimodal,30,4,student,0.0000,0.0000
162,dependent,30,4,sign,0.0000,0.0000
163,dependent,30,4,wilcoxon,0.0000,0.0000
164,dependent,30,4,student,0.0000,0.0000
165,control,100,4,sign,0.0000,0.0000
166,control,100,4,wilcoxon,0.0000,0.0000
167,control,100,4,student,0.0000,0.0000
168,uniform,100,4,sign,0.0000,0.0000
169,uniform,100,4,wilcoxon,0.0000,0.0000
170,uniform,100,4,student,0.0000,0.0000
171,asymmetric,100,4,sign,0.0000,0.0000
172,asymmetric,100,4,wilcoxon,0.0000,0.0000
173,asymmetric,100,4,student,0.0000,0.0000
174,bimodal,100,4,sign,0.0000,0.0000
175,bimodal,100,4,wilcoxon,0.0000,0.0000
176,bimodal,100,4,student,0.0000,0.0000
177,dependent,100,4,sign,0.0000,0.0000
178,dependent,100,4,wilcoxon,0.0000,0.0000
179,dependent,100,4,student,0.0000,0.0000
180,control,10,5,sign,0.0000,0.4000
181,control,10,5,wilcoxon,0.0000,0.1000
182,control,10,5,student,0.0000,0.1000
183,uniform,10,4,sign,0.0000,0.0000
184,uniform,10,4,wilcoxon,0.0000,0.0000
185,uniform,10,4,student,0.0000,0.0000
186,asymmetric,10,4,sign,0.0000,0.0000
187,asymmetric,10,4,wilcoxon,0.0000,0.0000
188,asymmetric,10,4,student,0.0000,0.0000
189,bimodal,10,4,sign,0.0000,0.0000
190,bimodal,10,4,wilcoxon,0.0000,0.0000
191,bimodal,10,4,student,0.0000,0.0000
192,dependent,10,4,sign,0.0000,0.0000
193,dependent,10,4,wilcoxon,0.0000,0.0000
194,dependent,10,4,student,0.0000,0.0000
195,control,30,4,sign,0.0000,0.0000
196,control,30,4,wilcoxon,0.0000,0.0000
197,control,30,4,student,0.0000,0.0000
198,uniform,30,4,sign,0.0000,0.0000
199,uniform,30,4,wilcoxon,0.0000,0.0000
200,uniform,30,4,student,0.0000,0.0000
201,asymmetric,30,4,sign,0.0000,0.0000
202,asymmetric,30,4,wilcoxon,0.0000,0.0000
203,asymmetric,30,4,student,0.0000,0.0000
204,bimodal,30,4,sign,0.0000,0.0000
205,bimodal,30,4,wilcoxon,0.0000,0.0000
206,bimodal,30,4,student,0.0000,0.0000
207,dependent,30,4,sign,0.0000,0.0000
208,dependent,30,4,wilcoxon,0.0000,0.0000
209,dependent,30,4,student,0.0000,0.0000
210,control,100,4,sign,0.0000,0.0000
211,control,100,4,wilcoxon,0.0000,0.0000
212,control,100,4,student,0.0000,0.0000
213,uniform,100,4,sign,0.0000,0.0000
214,uniform,100,4,wilcoxon,0.0000,0.0000
215,uniform,100,4,student,0.0000,0.0000
216,asymmetric,100,4,sign,0.0000,0.0000
217,asymmetric,100,4,wilcoxon,0.0000,0.0000
218,asymmetric,100,4,student,0.0000,0.0000
219,bimodal,100,4,sign,0.0000,0.0000
220,bimodal,100,4,wilcoxon,0.0000,0.0000
221,bimodal,100,4,student,0.0000,0.0000
222,dependent,100,4,sign,0.0000,0.0000
223,dependent,100,4,wilcoxon,0.0000,0.0000
224,dependent,100,4,student,0.0000,0.0000
225,control,10,6,sign,0.0000,0.0000
226,control,10,6,wilcoxon,0.0000,0.0000
227,control,10,6,student,0.0000,0.0000
228,uniform,10,4,sign,0.0000,0.0000
229,uniform,10,4,wilcoxon,0.0000,0.0000
230,uniform,10,4,student,0.0000,0.0000
231,asymmetric,10,4,sign,0.0000,0.0000
232,asymmetric,10,4,wilcoxon,0.0000,0.0000
233,asymmetric,10,4,student,0.0000,0.0000
234,bimodal,10,4,sign,0.0000,0.0000
235,bimodal,10,4,wilcoxon,0.0000,0.0000
236,bimodal,10,4,student,0.0000,0.0000
237,dependent,10,4,sign,0.0000,0.0000
238,dependent,10,4,wilcoxon,0.0000,0.0000
239,dependent,10,4,student,0.0000,0.0000
240,control,30,4,sign,0.0000,0.0000
241,control,30,4,wilcoxon,0.0000,0.0000
242,control,30,4,student,0.0000,0.0000
243,uniform,30,4,sign,0.0000,0.0000
244,uniform,30,4,wilcoxon,0.0000,0.0000
245,uniform,30,4,student,0.0000,0.0000
246,asymmetric,30,4,sign,0.0000,0.0000
247,asymmetric,30,4,wilcoxon,0.0000,0.0000
248,asymmetric,30,4,student,0.0000,0.0000
249,bimodal,30,4,sign,0.0000,0.0000
250,bimodal,30,4,wilcoxon,0.0000,0.0000
251,bimodal,30,4,student,0.0000,0.0000
252,dependent,30,4,sign,0.0000,0.0000
253,dependent,30,4,wilcoxon,0.0000,0.0000
254,dependent,30,4,student,0.0000,0.0000
255,control,100,4,sign,0.0000,0.0000
256,control,100,4,wilcoxon,0.0000,0.0000
257,control,100,4,student,0.0000,0.0000
258,uniform,100,4,sign,0.0000,0.0000
259,uniform,100,4,wilcoxon,0.0000,0.0000
260,uniform,100,4,student,0.0000,0.0000
261,asymmetric,100,4,sign,0.0000,0.0000
262,asymmetric,100,4,wilcoxon,0.0000,0.0000
263,asymmetric,100,4,student,0.0000,0.0000
264,bimodal,100,4,sign,0.0000,0.0000
265,bimodal,100,4,wilcoxon,0.0000,0.0000
266,bimodal,100,4,student,0.0000,0.0000
267,dependent,100,4,sign,0.0000,0.0000
268,dependent,100,4,wilcoxon,0.0000,0.0000
269,dependent,100,4,student,0.0000,0.0000
270,control,10,7,sign,0.0000,0.0000
271,control,10,7,wilcoxon,0.0000,0.0000
272,control,10,7,student,0.0000,0.0000
273,uniform,10,4,sign,0.0000,0.0000
274,uniform,10,4,wilcoxon,0.0000,0.0000
275,uniform,10,4,student,0.0000,0.0000
276,asymmetric,10,4,sign,0.0000,0.0000
277,asymmetric,10,4,wilcoxon,0.0000,0.0000
278,asymmetric,10,4,student,0.0000,0.0000
279,bimodal,10,4,sign,0.0000,0.0000
280,bimodal,10,4,wilcoxon,0.0000,0.0000
281,bimodal,10,4,student,0.0000,0.0000
282,dependent,10,4,sign,0.0000,0.0000
283,dependent,10,4,wilcoxon,0.0000,0.0000
284,dependent,10,4,student,0.0000,0.0000
285,control,30,4,sign,0.0000,0.0000
286,control,30,4,wilcoxon,0.0000,0.0000
287,control,30,4,student,0.0000,0.0000
288,uniform,30,4,sign,0.0000,0.0000
289,uniform,30,4,wilcoxon,0.0000,0.0000
290,uniform,30,4,student,0.0000,0.0000
291,asymmetric,30,4,sign,0.0000,0.0000
292,asymmetric,30,4,wilcoxon,0.0000,0.0000
293,asymmetric,30,4,student,0.0000,0.0000
294,bimodal,30,4,sign,0.0000,0.0000
295,bimodal,30,4,wilcoxon,0.0000,0.0000
296,bimodal,30,4,student,0.0000,0.0000
297,dependent,30,4,sign,0.0000,0.0000
298,dependent,30,4,wilcoxon,0.0000,0.0000
299,dependent,30,4,student,0.0000,0.0000
300,control,100,4,sign,0.0000,0.0000
301,control,100,4,wilcoxon,0.0000,0.0000
302,control,100,4,student,0.0000,0.0000
303,uniform,100,4,sign,0.0000,0.0000
304,uniform,100,4,wilcoxon,0.0000,0.0000
305,uniform,100,4,student,0.0000,0.0000
306,asymmetric,100,4,sign,0.0000,0.0000
307,asymmetric,100,4,wilcoxon,0.0000,0.0000
308,asymmetric,100,4,student,0.0000,0.0000
309,bimodal,100,4,sign,0.0000,0.0000
310,bimodal,100,4,wilcoxon,0.0000,0.0000
311,bimodal,100,4,student,0.0000,0.0000
312,dependent,100,4,sign,0.0000,0.0000
313,dependent,100,4,wilcoxon,0.0000,0.0000
314,dependent,100,4,student,0.0000,0.0000
