id,treatment,sample_size,median1,median2,rho,test,type1_error_rate,type2_error_rate
210,dependent,10,6,4,0.0,student,0.0000,0.0300
211,dependent,10,6,4,0.0,mann-whitney,0.0000,0.0500
212,dependent,10,6,4,0.1,paired-student,0.0000,0.0000
213,dependent,10,6,4,0.1,wilcoxon,0.0000,0.0000
214,dependent,10,6,4,0.1,student,0.0000,0.0000
215,dependent,10,6,4,0.1,mann-whitney,0.0000,0.0000
216,dependent,10,6,4,0.5,paired-student,0.0000,0.0000
217,dependent,10,6,4,0.5,wilcoxon,0.0000,0.0000
218,dependent,10,6,4,0.5,student,0.0000,0.0000
219,dependent,10,6,4,0.5,mann-whitney,0.0000,0.0000
220,dependent,10,6,4,0.8,paired-student,0.0000,0.0000
221,dependent,10,6,4,0.8,wilcoxon,0.0000,0.0000
222,dependent,10,6,4,0.8,student,0.0000,0.0000
223,dependent,10,6,4,0.8,mann-whitney,0.0000,0.0000
224,control,30,6,4,0.0,paired-student,0.0000,0.0000
225,control,30,6,4,0.0,wilcoxon,0.0000,0.0000
226,control,30,6,4,0.0,student,0.0000,0.0000
227,control,30,6,4,0.0,mann-whitney,0.0000,0.0000
228,uniform,30,6,4,0.0,paired-student,0.0000,0.9500
229,uniform,30,6,4,0.0,wilcoxon,0.0000,0.9400
230,uniform,30,6,4,0.0,student,0.0000,0.9400
231,uniform,30,6,4,0.0,mann-whitney,0.0000,0.9500
232,asymmetric,30,6,4,0.0,paired-student,0.0000,0.0000
233,asymmetric,30,6,4,0.0,wilcoxon,0.0000,0.0000
234,asymmetric,30,6,4,0.0,student,0.0000,0.0000
235,asymmetric,30,6,4,0.0,mann-whitney,0.0000,0.0000
236,bimodal,30,6,4,0.0,paired-student,0.0000,0.8800
237,bimodal,30,6,4,0.0,wilcoxon,0.0000,0.8700
238,bimodal,30,6,4,0.0,student,0.0000,0.8900
239,bimodal,30,6,4,0.0,mann-whitney,0.0000,0.8900
240,dependent,30,6,4,0.0,paired-student,0.0000,0.0000
241,dependent,30,6,4,0.0,wilcoxon,0.0000,0.0000
242,dependent,30,6,4,0.0,student,0.0000,0.0000
243,dependent,30,6,4,0.0,mann-whitney,0.0000,0.0000
244,dependent,30,6,4,0.1,paired-student,0.0000,0.0000
245,dependent,30,6,4,0.1,wilcoxon,0.0000,0.0000
246,dependent,30,6,4,0.1,student,0.0000,0.0000
247,dependent,30,6,4,0.1,mann-whitney,0.0000,0.0000
248,dependent,30,6,4,0.5,paired-student,0.0000,0.0000
249,dependent,30,6,4,0.5,wilcoxon,0.0000,0.0000
250,dependent,30,6,4,0.5,student,0.0000,0.0000
251,dependent,30,6,4,0.5,mann-whitney,0.0000,0.0000
252,dependent,30,6,4,0.8,paired-student,0.0000,0.0000
253,dependent,30,6,4,0.8,wilcoxon,0.0000,0.0000
254,dependent,30,6,4,0.8,student,0.0000,0.0000
255,dependent,30,6,4,0.8,mann-whitney,0.0000,0.0000
256,control,100,6,4,0.0,paired-student,0.0000,0.0000
257,control,100,6,4,0.0,wilcoxon,0.0000,0.0000
258,control,100,6,4,0.0,student,0.0000,0.0000
259,control,100,6,4,0.0,mann-whitney,0.0000,0.0000
260,uniform,100,6,4,0.0,paired-student,0.0000,0.9300
261,uniform,100,6,4,0.0,wilcoxon,0.0000,0.9300
262,uniform,100,6,4,0.0,student,0.0000,0.9300
263,uniform,100,6,4,0.0,mann-whitney,0.0000,0.9300
264,asymmetric,100,6,4,0.0,paired-student,0.0000,0.0000
265,asymmetric,100,6,4,0.0,wilcoxon,0.0000,0.0000
266,asymmetric,100,6,4,0.0,student,0.0000,0.0000
267,asymmetric,100,6,4,0.0,mann-whitney,0.0000,0.0000
268,bimodal,100,6,4,0.0,paired-student,0.0000,0.9600
269,bimodal,100,6,4,0.0,wilcoxon,0.0000,0.9600
270,bimodal,100,6,4,0.0,student,0.0000,0.9600
271,bimodal,100,6,4,0.0,mann-whitney,0.0000,0.9700
272,dependent,100,6,4,0.0,paired-student,0.0000,0.0000
273,dependent,100,6,4,0.0,wilcoxon,0.0000,0.0000
274,dependent,100,6,4,0.0,student,0.0000,0.0000
275,dependent,100,6,4,0.0,mann-whitney,0.0000,0.0000
276,dependent,100,6,4,0.1,paired-student,0.0000,0.0000
277,dependent,100,6,4,0.1,wilcoxon,0.0000,0.0000
278,dependent,100,6,4,0.1,student,0.0000,0.0000
279,dependent,100,6,4,0.1,mann-whitney,0.0000,0.0000
280,dependent,100,6,4,0.5,paired-student,0.0000,0.0000
281,dependent,100,6,4,0.5,wilcoxon,0.0000,0.0000
282,dependent,100,6,4,0.5,student,0.0000,0.0000
283,dependent,100,6,4,0.5,mann-whitney,0.0000,0.0000
284,dependent,100,6,4,0.8,paired-student,0.0000,0.0000
285,dependent,100,6,4,0.8,wilcoxon,0.0000,0.0000
286,dependent,100,6,4,0.8,student,0.0000,0.0000
287,dependent,100,6,4,0.8,mann-whitney,0.0000,0.0000
288,control,10,7,4,0.0,paired-student,0.0000,0.0000
289,control,10,7,4,0.0,wilcoxon,0.0000,0.0000
290,control,10,7,4,0.0,student,0.0000,0.0000
291,control,10,7,4,0.0,mann-whitney,0.0000,0.0000
292,uniform,10,7,4,0.0,paired-student,0.0000,0.9400
293,uniform,10,7,4,0.0,wilcoxon,0.0000,0.9400
294,uniform,10,7,4,0.0,student,0.0000,0.9600
295,uniform,10,7,4,0.0,mann-whitney,0.0000,0.9600
296,asymmetric,10,7,4,0.0,paired-student,0.0000,0.0000
297,asymmetric,10,7,4,0.0,wilcoxon,0.0000,0.0000
298,asymmetric,10,7,4,0.0,student,0.0000,0.0000
299,asymmetric,10,7,4,0.0,mann-whitney,0.0000,0.0000
300,bimodal,10,7,4,0.0,paired-student,0.0000,0.9600
301,bimodal,10,7,4,0.0,wilcoxon,0.0000,0.9600
302,bimodal,10,7,4,0.0,student,0.0000,0.9300
303,bimodal,10,7,4,0.0,mann-whitney,0.0000,0.9500
304,dependent,10,7,4,0.0,paired-student,0.0000,0.0000
305,dependent,10,7,4,0.0,wilcoxon,0.0000,0.0000
306,dependent,10,7,4,0.0,student,0.0000,0.0000
307,dependent,10,7,4,0.0,mann-whitney,0.0000,0.0000
308,dependent,10,7,4,0.1,paired-student,0.0000,0.0000
309,dependent,10,7,4,0.1,wilcoxon,0.0000,0.0000
310,dependent,10,7,4,0.1,student,0.0000,0.0000
311,dependent,10,7,4,0.1,mann-whitney,0.0000,0.0000
312,dependent,10,7,4,0.5,paired-student,0.0000,0.0000
313,dependent,10,7,4,0.5,wilcoxon,0.0000,0.0000
314,dependent,10,7,4,0.5,student,0.0000,0.0000
315,dependent,10,7,4,0.5,mann-whitney,0.0000,0.0000
316,dependent,10,7,4,0.8,paired-student,0.0000,0.0000
317,dependent,10,7,4,0.8,wilcoxon,0.0000,0.0000
318,dependent,10,7,4,0.8,student,0.0000,0.0000
319,dependent,10,7,4,0.8,mann-whitney,0.0000,0.0000
320,control,30,7,4,0.0,paired-student,0.0000,0.0000
321,control,30,7,4,0.0,wilcoxon,0.0000,0.0000
322,control,30,7,4,0.0,student,0.0000,0.0000
323,control,30,7,4,0.0,mann-whitney,0.0000,0.0000
324,uniform,30,7,4,0.0,paired-student,0.0000,0.9300
325,uniform,30,7,4,0.0,wilcoxon,0.0000,0.9200
326,uniform,30,7,4,0.0,student,0.0000,0.9300
327,uniform,30,7,4,0.0,mann-whitney,0.0000,0.9200
328,asymmetric,30,7,4,0.0,paired-student,0.0000,0.0000
329,asymmetric,30,7,4,0.0,wilcoxon,0.0000,0.0000
330,asymmetric,30,7,4,0.0,student,0.0000,0.0000
331,asymmetric,30,7,4,0.0,mann-whitney,0.0000,0.0000
332,bimodal,30,7,4,0.0,paired-student,0.0000,0.9700
333,bimodal,30,7,4,0.0,wilcoxon,0.0000,0.9600
334,bimodal,30,7,4,0.0,student,0.0000,0.9700
335,bimodal,30,7,4,0.0,mann-whitney,0.0000,0.9700
336,dependent,30,7,4,0.0,paired-student,0.0000,0.0000
337,dependent,30,7,4,0.0,wilcoxon,0.0000,0.0000
338,dependent,30,7,4,0.0,student,0.0000,0.0000
339,dependent,30,7,4,0.0,mann-whitney,0.0000,0.0000
340,dependent,30,7,4,0.1,paired-student,0.0000,0.0000
341,dependent,30,7,4,0.1,wilcoxon,0.0000,0.0000
342,dependent,30,7,4,0.1,student,0.0000,0.0000
343,dependent,30,7,4,0.1,mann-whitney,0.0000,0.0000
344,dependent,30,7,4,0.5,paired-student,0.0000,0.0000
345,dependent,30,7,4,0.5,wilcoxon,0.0000,0.0000
346,dependent,30,7,4,0.5,student,0.0000,0.0000
347,dependent,30,7,4,0.5,mann-whitney,0.0000,0.0000
348,dependent,30,7,4,0.8,paired-student,0.0000,0.0000
349,dependent,30,7,4,0.8,wilcoxon,0.0000,0.0000
350,dependent,30,7,4,0.8,student,0.0000,0.0000
351,dependent,30,7,4,0.8,mann-whitney,0.0000,0.0000
352,control,100,7,4,0.0,paired-student,0.0000,0.0000
353,control,100,7,4,0.0,wilcoxon,0.0000,0.0000
354,control,100,7,4,0.0,student,0.0000,0.0000
355,control,100,7,4,0.0,mann-whitney,0.0000,0.0000
356,uniform,100,7,4,0.0,paired-student,0.0000,0.9500
357,uniform,100,7,4,0.0,wilcoxon,0.0000,0.9500
358,uniform,100,7,4,0.0,student,0.0000,0.9700
359,uniform,100,7,4,0.0,mann-whitney,0.0000,0.9500
360,asymmetric,100,7,4,0.0,paired-student,0.0000,0.0000
361,asymmetric,100,7,4,0.0,wilcoxon,0.0000,0.0000
362,asymmetric,100,7,4,0.0,student,0.0000,0.0000
363,asymmetric,100,7,4,0.0,mann-whitney,0.0000,0.0000
364,bimodal,100,7,4,0.0,paired-student,0.0000,0.9400
365,bimodal,100,7,4,0.0,wilcoxon,0.0000,0.9300
366,bimodal,100,7,4,0.0,student,0.0000,0.9300
367,bimodal,100,7,4,0.0,mann-whitney,0.0000,0.9300
368,dependent,100,7,4,0.0,paired-student,0.0000,0.0000
369,dependent,100,7,4,0.0,wilcoxon,0.0000,0.0000
370,dependent,100,7,4,0.0,student,0.0000,0.0000
371,dependent,100,7,4,0.0,mann-whitney,0.0000,0.0000
372,dependent,100,7,4,0.1,paired-student,0.0000,0.0000
373,dependent,100,7,4,0.1,wilcoxon,0.0000,0.0000
374,dependent,100,7,4,0.1,student,0.0000,0.0000
375,dependent,100,7,4,0.1,mann-whitney,0.0000,0.0000
376,dependent,100,7,4,0.5,paired-student,0.0000,0.0000
377,dependent,100,7,4,0.5,wilcoxon,0.0000,0.0000
378,dependent,100,7,4,0.5,student,0.0000,0.0000
379,dependent,100,7,4,0.5,mann-whitney,0.0000,0.0000
380,dependent,100,7,4,0.8,paired-student,0.0000,0.0000
381,dependent,100,7,4,0.8,wilcoxon,0.0000,0.0000
382,dependent,100,7,4,0.8,student,0.0000,0.0000
383,dependent,100,7,4,0.8,mann-whitney,0.0000,0.0000
384,control,10,2,6,0.0,paired-student,0.0000,1.0000
385,control,10,2,6,0.0,wilcoxon,0.0000,1.0000
386,control,10,2,6,0.0,student,0.0000,1.0000
387,control,10,2,6,0.0,mann-whitney,0.0000,1.0000
388,uniform,10,2,6,0.0,paired-student,0.0000,0.9800
389,uniform,10,2,6,0.0,wilcoxon,0.0000,0.9800
390,uniform,10,2,6,0.0,student,0.0000,0.9800
391,uniform,10,2,6,0.0,mann-whitney,0.0000,0.9800
392,asymmetric,10,2,6,0.0,paired-student,0.0000,1.0000
393,asymmetric,10,2,6,0.0,wilcoxon,0.0000,1.0000
394,asymmetric,10,2,6,0.0,student,0.0000,1.0000
395,asymmetric,10,2,6,0.0,mann-whitney,0.0000,1.0000
396,bimodal,10,2,6,0.0,paired-student,0.0000,0.9700
397,bimodal,10,2,6,0.0,wilcoxon,0.0000,0.9800
398,bimodal,10,2,6,0.0,student,0.0000,0.9700
399,bimodal,10,2,6,0.0,mann-whitney,0.0000,0.9600
400,dependent,10,2,6,0.0,paired-student,0.0000,1.0000
401,dependent,10,2,6,0.0,wilcoxon,0.0000,1.0000
402,dependent,10,2,6,0.0,student,0.0000,1.0000
403,dependent,10,2,6,0.0,mann-whitney,0.0000,1.0000
404,dependent,10,2,6,0.1,paired-student,0.0000,1.0000
405,dependent,10,2,6,0.1,wilcoxon,0.0000,1.0000
406,dependent,10,2,6,0.1,student,0.0000,1.0000
407,dependent,10,2,6,0.1,mann-whitney,0.0000,1.0000
408,dependent,10,2,6,0.5,paired-student,0.0000,1.0000
409,dependent,10,2,6,0.5,wilcoxon,0.0000,1.0000
410,dependent,10,2,6,0.5,student,0.0000,1.0000
411,dependent,10,2,6,0.5,mann-whitney,0.0000,1.0000
412,dependent,10,2,6,0.8,paired-student,0.0000,1.0000
413,dependent,10,2,6,0.8,wilcoxon,0.0000,1.0000
414,dependent,10,2,6,0.8,student,0.0000,1.0000
415,dependent,10,2,6,0.8,mann-whitney,0.0000,1.0000
416,control,30,2,6,0.0,paired-student,0.0000,1.0000
417,control,30,2,6,0.0,wilcoxon,0.0000,1.0000
418,control,30,2,6,0.0,student,0.0000,1.0000
419,control,30,2,6,0.0,mann-whitney,0.0000,1.0000
420,uniform,30,2,6,0.0,paired-student,0.0000,0.9600
421,uniform,30,2,6,0.0,wilcoxon,0.0000,0.9600
422,uniform,30,2,6,0.0,student,0.0000,0.9600
423,uniform,30,2,6,0.0,mann-whitney,0.0000,0.9600
424,asymmetric,30,2,6,0.0,paired-student,0.0000,1.0000
425,asymmetric,30,2,6,0.0,wilcoxon,0.0000,1.0000
426,asymmetric,30,2,6,0.0,student,0.0000,1.0000
427,asymmetric,30,2,6,0.0,mann-whitney,0.0000,1.0000
428,bimodal,30,2,6,0.0,paired-student,0.0000,0.9200
429,bimodal,30,2,6,0.0,wilcoxon,0.0000,0.9200
430,bimodal,30,2,6,0.0,student,0.0000,0.9000
431,bimodal,30,2,6,0.0,mann-whitney,0.0000,0.9100
432,dependent,30,2,6,0.0,paired-student,0.0000,1.0000
433,dependent,30,2,6,0.0,wilcoxon,0.0000,1.0000
434,dependent,30,2,6,0.0,student,0.0000,1.0000
435,dependent,30,2,6,0.0,mann-whitney,0.0000,1.0000
436,dependent,30,2,6,0.1,paired-student,0.0000,1.0000
437,dependent,30,2,6,0.1,wilcoxon,0.0000,1.0000
438,dependent,30,2,6,0.1,student,0.0000,1.0000
439,dependent,30,2,6,0.1,mann-whitney,0.0000,1.0000
440,dependent,30,2,6,0.5,paired-student,0.0000,1.0000
441,dependent,30,2,6,0.5,wilcoxon,0.0000,1.0000
442,dependent,30,2,6,0.5,student,0.0000,1.0000
443,dependent,30,2,6,0.5,mann-whitney,0.0000,1.0000
444,dependent,30,2,6,0.8,paired-student,0.0000,1.0000
445,dependent,30,2,6,0.8,wilcoxon,0.0000,1.0000
446,dependent,30,2,6,0.8,student,0.0000,1.0000
447,dependent,30,2,6,0.8,mann-whitney,0.0000,1.0000
448,control,100,2,6,0.0,paired-student,0.0000,1.0000
449,control,100,2,6,0.0,wilcoxon,0.0000,1.0000
