id,treatment,sample_size,median1,median2,rho,test,type1_error_rate,type2_error_rate
545,control,100,1,6,0.0,wilcoxon,0.0000,1.0000
546,control,100,1,6,0.0,student,0.0000,1.0000
547,control,100,1,6,0.0,mann-whitney,0.0000,1.0000
548,uniform,100,1,6,0.0,paired-student,0.0000,0.9200
549,uniform,100,1,6,0.0,wilcoxon,0.0000,0.9400
550,uniform,100,1,6,0.0,student,0.0000,0.9500
551,uniform,100,1,6,0.0,mann-whitney,0.0000,0.9400
552,asymmetric,100,1,6,0.0,paired-student,0.0000,1.0000
553,asymmetric,100,1,6,0.0,wilcoxon,0.0000,1.0000
554,asymmetric,100,1,6,0.0,student,0.0000,1.0000
555,asymmetric,100,1,6,0.0,mann-whitney,0.0000,1.0000
556,bimodal,100,1,6,0.0,paired-student,0.0000,0.9500
557,bimodal,100,1,6,0.0,wilcoxon,0.0000,0.9500
558,bimodal,100,1,6,0.0,student,0.0000,0.9300
559,bimodal,100,1,6,0.0,mann-whitney,0.0000,0.9300
560,dependent,100,1,6,0.0,paired-student,0.0000,1.0000
561,dependent,100,1,6,0.0,wilcoxon,0.0000,1.0000
562,dependent,100,1,6,0.0,student,0.0000,1.0000
563,dependent,100,1,6,0.0,mann-whitney,0.0000,1.0000
564,dependent,100,1,6,0.1,paired-student,0.0000,1.0000
565,dependent,100,1,6,0.1,wilcoxon,0.0000,1.0000
566,dependent,100,1,6,0.1,student,0.0000,1.0000
567,dependent,100,1,6,0.1,mann-whitney,0.0000,1.0000
568,dependent,100,1,6,0.5,paired-student,0.0000,1.0000
569,dependent,100,1,6,0.5,wilcoxon,0.0000,1.0000
570,dependent,100,1,6,0.5,student,0.0000,1.0000
571,dependent,100,1,6,0.5,mann-whitney,0.0000,1.0000
572,dependent,100,1,6,0.8,paired-student,0.0000,1.0000
573,dependent,100,1,6,0.8,wilcoxon,0.0000,1.0000
574,dependent,100,1,6,0.8,student,0.0000,1.0000
575,dependent,100,1,6,0.8,mann-whitney,0.0000,1.0000
576,control,10,7,1,0.0,paired-student,0.0000,0.0000
577,control,10,7,1,0.0,wilcoxon,0.0000,0.0000
578,control,10,7,1,0.0,student,0.0000,0.0000
579,control,10,7,1,0.0,mann-whitney,0.0000,0.0000
580,uniform,10,7,1,0.0,paired-student,0.0000,0.9300
581,uniform,10,7,1,0.0,wilcoxon,0.0000,0.9200
582,uniform,10,7,1,0.0,student,0.0000,0.9000
583,uniform,10,7,1,0.0,mann-whitney,0.0000,0.9300
584,asymmetric,10,7,1,0.0,paired-student,0.0000,0.0000
585,asymmetric,10,7,1,0.0,wilcoxon,0.0000,0.0000
586,asymmetric,10,7,1,0.0,student,0.0000,0.0000
587,asymmetric,10,7,1,0.0,mann-whitney,0.0000,0.0000
588,bimodal,10,7,1,0.0,paired-student,0.0000,0.9400
589,bimodal,10,7,1,0.0,wilcoxon,0.0000,0.9400
590,bimodal,10,7,1,0.0,student,0.0000,0.9100
591,bimodal,10,7,1,0.0,mann-whitney,0.0000,0.9000
592,dependent,10,7,1,0.0,paired-student,0.0000,0.0000
593,dependent,10,7,1,0.0,wilcoxon,0.0000,0.0000
594,dependent,10,7,1,0.0,student,0.0000,0.0000
595,dependent,10,7,1,0.0,mann-whitney,0.0000,0.0000
596,dependent,10,7,1,0.1,paired-student,0.0000,0.0000
597,dependent,10,7,1,0.1,wilcoxon,0.0000,0.0000
598,dependent,10,7,1,0.1,student,0.0000,0.0000
599,dependent,10,7,1,0.1,mann-whitney,0.0000,0.0000
600,dependent,10,7,1,0.5,paired-student,0.0000,0.0000
601,dependent,10,7,1,0.5,wilcoxon,0.0000,0.0000
602,dependent,10,7,1,0.5,student,0.0000,0.0000
603,dependent,10,7,1,0.5,mann-whitney,0.0000,0.0000
604,dependent,10,7,1,0.8,paired-student,0.0000,0.0000
605,dependent,10,7,1,0.8,wilcoxon,0.0000,0.0000
606,dependent,10,7,1,0.8,student,0.0000,0.0000
607,dependent,10,7,1,0.8,mann-whitney,0.0000,0.0000
608,control,30,7,1,0.0,paired-student,0.0000,0.0000
609,control,30,7,1,0.0,wilcoxon,0.0000,0.0000
610,control,30,7,1,0.0,student,0.0000,0.0000
611,control,30,7,1,0.0,mann-whitney,0.0000,0.0000
612,uniform,30,7,1,0.0,paired-student,0.0000,0.9500
613,uniform,30,7,1,0.0,wilcoxon,0.0000,0.9600
614,uniform,30,7,1,0.0,student,0.0000,0.9600
615,uniform,30,7,1,0.0,mann-whitney,0.0000,0.9500
616,asymmetric,30,7,1,0.0,paired-student,0.0000,0.0000
617,asymmetric,30,7,1,0.0,wilcoxon,0.0000,0.0000
618,asymmetric,30,7,1,0.0,student,0.0000,0.0000
619,asymmetric,30,7,1,0.0,mann-whitney,0.0000,0.0000
620,bimodal,30,7,1,0.0,paired-student,0.0000,1.0000
621,bimodal,30,7,1,0.0,wilcoxon,0.0000,0.9900
622,bimodal,30,7,1,0.0,student,0.0000,0.9900
623,bimodal,30,7,1,0.0,mann-whitney,0.0000,1.0000
624,dependent,30,7,1,0.0,paired-student,0.0000,0.0000
625,dependent,30,7,1,0.0,wilcoxon,0.0000,0.0000
626,dependent,30,7,1,0.0,student,0.0000,0.0000
627,dependent,30,7,1,0.0,mann-whitney,0.0000,0.0000
628,dependent,30,7,1,0.1,paired-student,0.0000,0.0000
629,dependent,30,7,1,0.1,wilcoxon,0.0000,0.0000
630,dependent,30,7,1,0.1,student,0.0000,0.0000
631,dependent,30,7,1,0.1,mann-whitney,0.0000,0.0000
632,dependent,30,7,1,0.5,paired-student,0.0000,0.0000
633,dependent,30,7,1,0.5,wilcoxon,0.0000,0.0000
634,dependent,30,7,1,0.5,student,0.0000,0.0000
635,dependent,30,7,1,0.5,mann-whitney,0.0000,0.0000
636,dependent,30,7,1,0.8,paired-student,0.0000,0.0000
637,dependent,30,7,1,0.8,wilcoxon,0.0000,0.0000
638,dependent,30,7,1,0.8,student,0.0000,0.0000
639,dependent,30,7,1,0.8,mann-whitney,0.0000,0.0000
640,control,100,7,1,0.0,paired-student,0.0000,0.0000
641,control,100,7,1,0.0,wilcoxon,0.0000,0.0000
642,control,100,7,1,0.0,student,0.0000,0.0000
643,control,100,7,1,0.0,mann-whitney,0.0000,0.0000
644,uniform,100,7,1,0.0,paired-student,0.0000,0.9100
645,uniform,100,7,1,0.0,wilcoxon,0.0000,0.9100
646,uniform,100,7,1,0.0,student,0.0000,0.9200
647,uniform,100,7,1,0.0,mann-whitney,0.0000,0.9200
648,asymmetric,100,7,1,0.0,paired-student,0.0000,0.0000
649,asymmetric,100,7,1,0.0,wilcoxon,0.0000,0.0000
650,asymmetric,100,7,1,0.0,student,0.0000,0.0000
651,asymmetric,100,7,1,0.0,mann-whitney,0.0000,0.0000
652,bimodal,100,7,1,0.0,paired-student,0.0000,0.9200
653,bimodal,100,7,1,0.0,wilcoxon,0.0000,0.9300
654,bimodal,100,7,1,0.0,student,0.0000,0.9200
655,bimodal,100,7,1,0.0,mann-whitney,0.0000,0.9200
656,dependent,100,7,1,0.0,paired-student,0.0000,0.0000
657,dependent,100,7,1,0.0,wilcoxon,0.0000,0.0000
658,dependent,100,7,1,0.0,student,0.0000,0.0000
659,dependent,100,7,1,0.0,mann-whitney,0.0000,0.0000
660,dependent,100,7,1,0.1,paired-student,0.0000,0.0000
661,dependent,100,7,1,0.1,wilcoxon,0.0000,0.0000
662,dependent,100,7,1,0.1,student,0.0000,0.0000
663,dependent,100,7,1,0.1,mann-whitney,0.0000,0.0000
664,dependent,100,7,1,0.5,paired-student,0.0000,0.0000
665,dependent,100,7,1,0.5,wilcoxon,0.0000,0.0000
666,dependent,100,7,1,0.5,student,0.0000,0.0000
667,dependent,100,7,1,0.5,mann-whitney,0.0000,0.0000
668,dependent,100,7,1,0.8,paired-student,0.0000,0.0000
669,dependent,100,7,1,0.8,wilcoxon,0.0000,0.0000
670,dependent,100,7,1,0.8,student,0.0000,0.0000
671,dependent,100,7,1,0.8,mann-whitney,0.0000,0.0000
